path	BoundingBox
data/imgs_subset/w_20.jpg	40   487   237   237
data/imgs_subset/w_20.jpg	1549   1666   255   255
data/imgs_subset/w_20.jpg	1800   1807   498   498
data/imgs_subset/w_20.jpg	1467   1556   347   347
data/imgs_subset/w_38.jpg	2124   616   300   300
data/imgs_subset/w_47.jpg	1145   410   692   692
data/imgs_subset/w_50.jpg	2593   1279   420   420
data/imgs_subset/w_58.jpg	1502   802   283   283
data/imgs_subset/w_58.jpg	1437   67   302   302
data/imgs_subset/w_58.jpg	1342   71   323   323
data/imgs_subset/w_70.jpg	1515   947   246   246
data/imgs_subset/w_91.jpg	1914   557   264   264
data/imgs_subset/w_91.jpg	1608   677   232   232
data/imgs_subset/w_91.jpg	1971   976   248   248
data/imgs_subset/w_91.jpg	2407   844   237   237
data/imgs_subset/w_91.jpg	4067   1018   251   251
data/imgs_subset/w_91.jpg	2017   2377   413   413
data/imgs_subset/w_91.jpg	801   2350   338   338
data/imgs_subset/w_91.jpg	2753   929   321   321
data/imgs_subset/w_91.jpg	1835   866   440   440
data/imgs_subset/w_95.jpg	682   1509   237   237
data/imgs_subset/w_95.jpg	1090   439   900   900
data/imgs_subset/w_98.jpg	1179   390   301   301
data/imgs_subset/w_98.jpg	1126   574   424   424
data/imgs_subset/w_98.jpg	885   478   849   849
data/imgs_subset/w_98.jpg	755   82   900   900
data/imgs_subset/w_124.jpg	1264   788   245   245
data/imgs_subset/w_124.jpg	918   254   1208   1208
data/imgs_subset/w_133.jpg	1215   586   226   226
data/imgs_subset/w_133.jpg	290   703   263   263
data/imgs_subset/w_133.jpg	421   1286   232   232
data/imgs_subset/w_133.jpg	158   443   576   576
data/imgs_subset/w_141.jpg	1161   429   717   717
data/imgs_subset/w_168.jpg	1169   543   293   293
data/imgs_subset/w_182.jpg	348   2365   237   237
data/imgs_subset/w_182.jpg	1185   2717   262   262
data/imgs_subset/w_182.jpg	330   2408   288   288
data/imgs_subset/w_182.jpg	1230   338   373   373
data/imgs_subset/w_197.jpg	2016   79   271   271
data/imgs_subset/w_197.jpg	22   249   218   218
data/imgs_subset/w_197.jpg	30   329   241   241
data/imgs_subset/w_197.jpg	2283   366   220   220
data/imgs_subset/w_197.jpg	196   767   232   232
data/imgs_subset/w_197.jpg	2358   349   334   334
data/imgs_subset/w_197.jpg	2681   887   260   260
data/imgs_subset/w_197.jpg	2257   172   430   430
data/imgs_subset/w_197.jpg	1089   653   1271   1271
data/imgs_subset/w_211.jpg	1697   713   710   710
data/imgs_subset/w_249.jpg	1163   321   1372   1372
data/imgs_subset/w_272.jpg	1693   2128   293   293
data/imgs_subset/w_272.jpg	3386   2556   220   220
data/imgs_subset/w_272.jpg	470   2686   241   241
data/imgs_subset/w_272.jpg	1634   831   315   315
data/imgs_subset/w_272.jpg	889   646   327   327
data/imgs_subset/w_272.jpg	2000   2149   500   500
data/imgs_subset/w_288.jpg	1844   1109   348   348
data/imgs_subset/w_293.jpg	2350   700   243   243
data/imgs_subset/w_293.jpg	2341   612   243   243
data/imgs_subset/w_293.jpg	1775   2044   226   226
data/imgs_subset/w_293.jpg	2249   1475   341   341
data/imgs_subset/w_301.jpg	842   173   773   773
data/imgs_subset/w_309.jpg	2594   392   243   243
data/imgs_subset/w_309.jpg	843   665   258   258
data/imgs_subset/w_309.jpg	2035   1719   254   254
data/imgs_subset/w_309.jpg	1505   64   339   339
data/imgs_subset/w_309.jpg	1093   148   1198   1198
data/imgs_subset/w_313.jpg	2700   541   513   513
data/imgs_subset/w_319.jpg	1608   429   746   746
data/imgs_subset/w_322.jpg	2541   393   865   865
data/imgs_subset/w_322.jpg	1755   219   2073   2073
data/imgs_subset/w_346.jpg	2856   17   237   237
data/imgs_subset/w_346.jpg	2750   213   254   254
data/imgs_subset/w_346.jpg	1604   662   237   237
data/imgs_subset/w_346.jpg	1812   797   381   381
data/imgs_subset/w_363.jpg	1202   280   290   290
data/imgs_subset/w_376.jpg	2482   1717   268   268
data/imgs_subset/w_375.jpg	1367   437   232   232
data/imgs_subset/w_378.jpg	1417   231   744   744
data/imgs_subset/w_378.jpg	1107   218   870   870
data/imgs_subset/w_379.jpg	1668   387   382   382
data/imgs_subset/w_380.jpg	1011   268   694   694
data/imgs_subset/w_382.jpg	1398   624   276   276
data/imgs_subset/w_397.jpg	1268   886   280   280
data/imgs_subset/w_436.jpg	1642   871   297   297
data/imgs_subset/w_459.jpg	1704   698   228   228
data/imgs_subset/w_468.jpg	1652   544   311   311
data/imgs_subset/w_475.jpg	1221   350   1290   1290
data/imgs_subset/w_483.jpg	776   436   245   245
